,unit_name,date,unit_work,unit_parks,unit_retail,unit_grocery,unit_transit,unit_residential,subunit_name,subunit_work,subunit_parks,subunit_retail,subunit_grocery,subunit_transit,subunit_residential
59,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Scott County,-0.27,0.8,,,,
60,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Searcy County,-0.39,,,,,
61,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Sebastian County,-0.27,0.45,-0.36,-0.11,-0.41,
62,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Sevier County,-0.19,,-0.24,-0.11,,
63,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Sharp County,-0.26,,-0.17,,,
64,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,St. Francis County,-0.25,,-0.16,0.1,-0.22,
65,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Stone County,-0.26,,-0.11,-0.29,,
66,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Union County,-0.24,,-0.33,,,
67,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Van Buren County,-0.39,,-0.2,,,
68,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,Washington County,-0.34,0.37,-0.37,-0.16,-0.1,
69,Arkansas,2020-03-29,-0.27,0.81,-0.29,,-0.22,,White County,-0.21,-0.19,-0.27,-0.12,,
70,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Alameda County,-0.44,-0.14,-0.58,-0.27,-0.64,0.17
71,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Amador County,-0.44,-0.5,-0.41,-0.2,,
72,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Butte County,-0.34,-0.23,-0.45,-0.16,-0.45,0.11
73,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Calaveras County,-0.39,-0.28,-0.42,-0.12,,0.1
74,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Colusa County,-0.37,,-0.37,,-0.32,
75,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Contra Costa County,-0.41,-0.15,-0.48,-0.21,-0.49,0.15
76,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Del Norte County,-0.29,-0.26,-0.31,-0.11,,
77,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,El Dorado County,-0.48,-0.35,-0.58,-0.37,-0.5,0.13
78,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Fresno County,-0.31,-0.27,-0.4,-0.14,-0.43,0.11
79,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Glenn County,-0.36,-0.11,-0.23,-0.14,-0.2,
80,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Humboldt County,-0.35,-0.1,-0.48,-0.23,-0.48,0.11
81,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Imperial County,-0.32,-0.65,-0.53,-0.31,-0.62,0.16
82,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Inyo County,-0.39,-0.35,-0.75,-0.37,,
83,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Kern County,-0.3,-0.16,-0.43,-0.17,-0.37,0.11
84,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Kings County,-0.27,-0.12,-0.34,-0.14,-0.43,0.1
85,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Lake County,-0.33,-0.42,-0.38,-0.13,-0.42,0.16
86,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Lassen County,-0.22,,-0.3,,,
87,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Los Angeles County,-0.41,-0.48,-0.51,-0.27,-0.54,0.17
88,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Madera County,-0.3,-0.2,-0.39,-0.25,-0.3,0.11
89,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Marin County,-0.42,-0.59,-0.61,-0.3,-0.61,0.17
90,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Mariposa County,-0.45,-0.72,-0.75,-0.23,,
91,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Mendocino County,-0.32,-0.39,-0.47,-0.29,-0.44,0.17
92,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Merced County,-0.26,,-0.34,-0.18,-0.37,0.11
93,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Modoc County,-0.26,,-0.59,,,
94,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Mono County,-0.73,-0.57,,-0.6,,
95,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Monterey County,-0.43,-0.48,-0.46,-0.19,-0.45,0.14
96,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Napa County,-0.51,-0.24,-0.53,-0.34,-0.45,0.18
97,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Nevada County,-0.41,-0.48,-0.56,-0.26,-0.73,0.15
98,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Orange County,-0.44,-0.31,-0.52,-0.24,-0.55,0.17
99,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Placer County,-0.44,,-0.52,-0.27,-0.55,0.13
100,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Plumas County,-0.25,,-0.3,,,
101,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Riverside County,-0.39,-0.44,-0.43,-0.2,-0.41,0.14
102,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Sacramento County,-0.37,,-0.45,-0.21,-0.57,0.13
103,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Benito County,-0.32,-0.36,-0.45,-0.25,,0.23
104,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Bernardino County,-0.34,-0.36,-0.45,-0.23,-0.42,0.14
105,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Diego County,-0.41,-0.51,-0.5,-0.26,-0.64,0.15
106,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Francisco County,-0.53,-0.55,-0.75,-0.37,-0.66,0.21
107,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Joaquin County,-0.3,-0.16,-0.41,-0.16,-0.31,0.12
108,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Luis Obispo County,-0.45,-0.27,-0.56,-0.29,-0.58,0.13
109,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,San Mateo County,-0.46,-0.35,-0.6,-0.26,-0.83,0.19
110,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Santa Barbara County,-0.4,-0.3,-0.47,-0.17,-0.51,0.13
111,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Santa Clara County,-0.48,-0.22,-0.62,-0.33,-0.71,0.17
112,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Santa Cruz County,-0.41,-0.4,-0.55,-0.27,-0.57,0.15
113,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Shasta County,-0.31,-0.21,-0.39,-0.15,-0.22,
114,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Siskiyou County,-0.25,,-0.35,-0.2,,0.13
115,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Solano County,-0.34,-0.18,-0.45,-0.21,-0.37,0.13
116,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Sonoma County,-0.41,-0.58,-0.53,-0.22,-0.54,0.15
117,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Stanislaus County,-0.29,-0.12,-0.44,-0.19,-0.28,0.11
118,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Sutter County,-0.34,-0.28,-0.41,-0.18,-0.43,0.13
119,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Tehama County,-0.27,,-0.34,,-0.22,0.15
120,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Trinity County,-0.28,,-0.65,-0.2,,
121,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Tulare County,-0.25,-0.27,-0.39,-0.13,-0.28,0.11
122,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Tuolumne County,-0.38,-0.67,-0.48,-0.17,,0.14
123,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Ventura County,-0.39,-0.24,-0.46,-0.24,-0.4,0.14
124,California,2020-03-29,-0.39,-0.38,-0.5,-0.24,-0.54,0.15,Yolo County,-0.37,,-0.43,-0.23,-0.34,0.13
125,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Autauga County,-0.35,-0.14,-0.42,,,0.16
126,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Baldwin County,-0.32,-0.27,-0.47,-0.19,-0.24,
127,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Barbour County,-0.23,,-0.27,-0.2,,
128,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Bibb County,-0.32,,-0.25,-0.1,,
129,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Blount County,-0.29,,-0.36,,,0.15
130,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Bullock County,-0.24,,-0.37,-0.13,,
131,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Butler County,-0.3,,-0.37,,-0.45,
132,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Calhoun County,-0.33,-0.22,-0.4,-0.17,,
133,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Chambers County,-0.28,,-0.34,,-0.12,0.13
134,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Cherokee County,-0.29,,-0.24,,,
135,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Chilton County,-0.26,,-0.41,-0.11,-0.27,0.14
136,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Choctaw County,-0.28,,-0.13,-0.16,,
137,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Clarke County,-0.27,,-0.27,-0.24,,
138,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Clay County,-0.2,,-0.33,-0.14,,
139,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Cleburne County,,,-0.22,,-0.36,
140,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Coffee County,-0.26,,-0.28,-0.15,,0.11
141,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Colbert County,-0.22,-0.14,-0.3,,-0.2,0.12
142,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Conecuh County,-0.21,,-0.49,-0.1,-0.33,
143,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Coosa County,-0.28,,,,,
144,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Covington County,-0.23,,-0.37,-0.15,,
145,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Crenshaw County,-0.35,,-0.57,-0.17,,
146,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Cullman County,-0.29,0.86,-0.33,,-0.33,
147,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Dale County,-0.25,,-0.34,,-0.17,0.11
148,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Dallas County,-0.22,,-0.27,,,
149,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,DeKalb County,-0.23,,-0.38,,-0.33,0.11
150,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Elmore County,-0.37,0.5,-0.4,-0.13,,
151,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Escambia County,-0.27,,-0.35,-0.2,,
152,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Etowah County,-0.33,0.19,-0.47,-0.13,-0.27,
153,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Fayette County,-0.28,,-0.23,,,
154,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Franklin County,-0.14,,-0.27,,,
155,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Geneva County,-0.28,,-0.34,,,
156,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Greene County,-0.33,,0.11,-0.22,-0.32,
157,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Hale County,-0.14,,-0.46,-0.29,,
158,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Henry County,-0.29,,-0.46,,,
159,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Houston County,-0.3,0.23,-0.46,-0.18,-0.27,
160,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Jackson County,-0.25,,-0.31,,,0.12
161,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Jefferson County,-0.36,,-0.48,-0.16,-0.43,0.11
162,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Lamar County,-0.28,,,,,
163,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Lauderdale County,-0.33,-0.15,-0.43,-0.14,,
164,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Lawrence County,-0.25,,-0.27,,,
165,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Lee County,-0.36,-0.14,-0.52,-0.23,,0.11
166,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Limestone County,-0.32,0.38,-0.35,-0.12,,
167,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Lowndes County,-0.34,,,,-0.29,
168,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Macon County,-0.37,,-0.29,-0.12,-0.42,
169,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Madison County,-0.38,0.35,-0.46,-0.17,-0.39,0.1
170,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Marengo County,-0.17,,-0.18,,,
171,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Marion County,-0.24,,-0.31,,,
172,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Marshall County,-0.3,,-0.34,,,
173,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Mobile County,-0.29,-0.21,-0.39,-0.11,-0.3,
174,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Monroe County,-0.27,,-0.28,,,
175,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Montgomery County,-0.34,,-0.44,-0.14,-0.14,0.11
176,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Morgan County,-0.27,0.18,-0.37,,-0.27,
177,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Perry County,-0.29,,-0.53,,,
178,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Pickens County,-0.36,,-0.36,,,
179,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Pike County,-0.25,,-0.39,-0.36,,
180,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Randolph County,-0.22,,-0.29,-0.14,,
181,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Russell County,-0.27,,-0.28,,,0.13
182,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Shelby County,-0.36,0.44,-0.43,-0.2,,0.12
183,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,St. Clair County,-0.34,,-0.3,-0.15,-0.24,
184,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Sumter County,-0.31,,-0.52,,,
185,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Talladega County,-0.33,0.17,-0.31,-0.1,-0.12,
186,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Tallapoosa County,-0.25,,-0.31,,,0.13
187,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Tuscaloosa County,-0.4,,-0.46,-0.14,-0.29,0.12
188,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Walker County,-0.24,,-0.37,-0.1,-0.32,0.12
189,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Washington County,-0.25,,,-0.13,,
190,Alabama,2020-03-29,-0.32,0.19,-0.41,-0.13,-0.3,,Wilcox County,-0.31,,-0.49,-0.17,,
191,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Anchorage,-0.39,0.51,-0.49,-0.25,-0.53,0.11
192,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Bethel,-0.19,,,-0.26,,
193,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Fairbanks North Star,-0.32,,-0.48,-0.34,-0.76,0.12
194,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Juneau,-0.31,-0.34,-0.61,-0.34,-0.66,
195,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Kenai Peninsula Borough,-0.24,,-0.49,-0.28,,0.14
196,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Ketchikan Gateway,-0.32,,-0.48,-0.38,,
197,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Kodiak Island,-0.23,,-0.5,,,
198,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Matanuska-Susitna,-0.33,,-0.48,-0.33,,0.1
199,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,North Slope,,,,,,
200,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Sitka,-0.31,0.8,,,,
201,Alaska,2020-03-29,-0.33,0.18,-0.48,-0.27,-0.55,0.1,Southeast Fairbanks,-0.35,,,,,
202,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Alachua County,-0.37,-0.32,-0.54,-0.26,-0.48,0.12
203,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Baker County,-0.27,,-0.23,,-0.45,
204,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Bay County,-0.27,,-0.38,-0.16,-0.5,
205,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Bradford County,-0.26,,-0.26,,,
206,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Brevard County,-0.38,-0.26,-0.44,-0.22,-0.37,0.11
207,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Broward County,-0.42,-0.62,-0.52,-0.28,-0.72,0.16
208,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Calhoun County,-0.28,,-0.38,,,
209,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Charlotte County,-0.4,-0.35,-0.49,-0.25,-0.33,0.1
210,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Citrus County,-0.36,-0.35,-0.38,-0.15,,
211,Florida,2020-03-29,-0.41,-0.48,-0.5,-0.26,-0.63,0.13,Clay County,-0.34,,-0.33,-0.15,,0.1
